,icd9,icd9_desc
0,0010, Cholera due to vibrio cholerae
1,0011, Cholera due to vibrio cholerae el tor
2,0019, Cholera
3,0020, Typhoid fever
4,0021, Paratyphoid fever A
5,0022, Paratyphoid fever B
6,0023, Paratyphoid fever C
7,0029, Paratyphoid fever
8,0030, Salmonella gastroenteritis
9,0031, Salmonella septicemia
10,00320,Localized salmonella infection
11,00321,Salmonella meningitis
12,00322,Salmonella pneumonia
13,00323,Salmonella arthritis
14,00324,Salmonella osteomyelitis
15,00329,Other localized salmonella infections
16,0038, Other specified salmonella infections
17,0039, Salmonella infection
18,0040, Shigella dysenteriae
19,0041, Shigella flexneri
20,0042, Shigella boydii
21,0043, Shigella sonnei
22,0048, Other specified shigella infections
23,0049, Shigellosis
24,0050, Staphylococcal food poisoning
25,0051, Botulism food poisoning
26,0052, Food poisoning due to Clostridium perfringens (C. welchii)
27,0053, Food poisoning due to other Clostridia
28,0054, Food poisoning due to Vibrio parahaemolyticus
29,00581,Food poisoning due to Vibrio vulnificus
30,00589,Other bacterial food poisoning
31,0059, Food poisoning
32,0060, Acute amebic dysentery without mention of abscess
33,0061, Chronic intestinal amebiasis without mention of abscess
34,0062, Amebic nondysenteric colitis
35,0063, Amebic liver abscess
36,0064, Amebic lung abscess
37,0065, Amebic brain abscess
38,0066, Amebic skin ulceration
39,0068, Amebic infection of other sites
40,0069, Amebiasis
41,0070, Balantidiasis
42,0071, Giardiasis
43,0072, Coccidiosis
44,0073, Intestinal trichomoniasis
45,0074, Cryptosporidiosis
46,0075, Cyclosporiasis
47,0078, Other specified protozoal intestinal diseases
48,0079, Unspecified protozoal intestinal disease
49,00800,Intestinal infection due to E. coli
50,00801,Intestinal infection due to enteropathogenic E. coli
51,00802,Intestinal infection due to enterotoxigenic E. coli
52,00803,Intestinal infection due to enteroinvasive E. coli
53,00804,Intestinal infection due to enterohemorrhagic E. coli
54,00809,Intestinal infection due to other intestinal E. coli infections
55,0081, Intestinal infection due to arizona group of paracolon bacilli
56,0082, Intestinal infection due to aerobacter aerogenes
57,0083, Intestinal infection due to proteus (mirabilis) (morganii)
58,00841,Intestinal infection due to staphylococcus
59,00842,Intestinal infection due to pseudomonas
60,00843,Intestinal infection due to campylobacter
61,00844,Intestinal infection due to yersinia enterocolitica
62,00845,Intestinal infection due to Clostridium difficile
63,00846,Intestinal infection due to other anaerobes
64,00847,Intestinal infection due to other gram-negative bacteria
65,00849,Intestinal infection due to other organisms
66,0085, Bacterial enteritis
67,00861,Enteritis due to rotavirus
68,00862,Enteritis due to adenovirus
69,00863,Enteritis due to norwalk virus
70,00864,Enteritis due to other small round viruses [SRV's]
71,00865,Enteritis due to calicivirus
72,00866,Enteritis due to astrovirus
73,00867,Enteritis due to enterovirus nec
74,00869,Enteritis due to other viral enteritis
75,0088, Intestinal infection due to other organism
76,0090, Infectious colitis
77,0091, Colitis
78,0092, Infectious diarrhea
79,0093, Diarrhea of presumed infectious origin
80,01000,Primary tuberculous infection
81,01001,Primary tuberculous infection
82,01002,Primary tuberculous infection
83,01003,Primary tuberculous infection
84,01004,Primary tuberculous infection
85,01005,Primary tuberculous infection
86,01006,Primary tuberculous infection
87,01010,Tuberculous pleurisy in primary progressive tuberculosis
88,01011,Tuberculous pleurisy in primary progressive tuberculosis
89,01012,Tuberculous pleurisy in primary progressive tuberculosis
90,01013,Tuberculous pleurisy in primary progressive tuberculosis
91,01014,Tuberculous pleurisy in primary progressive tuberculosis
92,01015,Tuberculous pleurisy in primary progressive tuberculosis
93,01016,Tuberculous pleurisy in primary progressive tuberculosis
94,01080,Other primary progressive tuberculosis
95,01081,Other primary progressive tuberculosis
96,01082,Other primary progressive tuberculosis
97,01083,Other primary progressive tuberculosis
98,01084,Other primary progressive tuberculosis
99,01085,Other primary progressive tuberculosis
100,01086,Other primary progressive tuberculosis
101,01090,Primary tuberculous infection
102,01091,Primary tuberculous infection
103,01092,Primary tuberculous infection
104,01093,Primary tuberculous infection
105,01094,Primary tuberculous infection
106,01095,Primary tuberculous infection
107,01096,Primary tuberculous infection
108,01100,Tuberculosis of lung
109,01101,Tuberculosis of lung
110,01102,Tuberculosis of lung
111,01103,Tuberculosis of lung
112,01104,Tuberculosis of lung
113,01105,Tuberculosis of lung
114,01106,Tuberculosis of lung
115,01110,Tuberculosis of lung
116,01111,Tuberculosis of lung
117,01112,Tuberculosis of lung
118,01113,Tuberculosis of lung
119,01114,Tuberculosis of lung
120,01115,Tuberculosis of lung
121,01116,Tuberculosis of lung
122,01120,Tuberculosis of lung with cavitation
123,01121,Tuberculosis of lung with cavitation
124,01122,Tuberculosis of lung with cavitation
125,01123,Tuberculosis of lung with cavitation
126,01124,Tuberculosis of lung with cavitation
127,01125,Tuberculosis of lung with cavitation
128,01126,Tuberculosis of lung with cavitation
129,01130,Tuberculosis of bronchus
130,01131,Tuberculosis of bronchus
131,01132,Tuberculosis of bronchus
132,01133,Tuberculosis of bronchus
133,01134,Tuberculosis of bronchus
134,01135,Tuberculosis of bronchus
135,01136,Tuberculosis of bronchus
136,01140,Tuberculous fibrosis of lung
137,01141,Tuberculous fibrosis of lung
138,01142,Tuberculous fibrosis of lung
139,01143,Tuberculous fibrosis of lung
140,01144,Tuberculous fibrosis of lung
141,01145,Tuberculous fibrosis of lung
142,01146,Tuberculous fibrosis of lung
143,01150,Tuberculous bronchiectasis
