source,target,flags,icd10,description
T423X1A,E851,10112,E851,   Neuropathic heredofamilial amyloidosis
T451X1A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T458X1A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T4591XA,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50A11A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50A21A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50A91A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50B11A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50B91A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50Z11A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T50Z91A,E8581,10112,E8581,  Light chain (AL) amyloidosis
T454X1A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T45511A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T45521A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T45601A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T45611A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T45621A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T45691A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T457X1A,E8582,10112,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T458X1A,E8582,10122,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
T4591XA,E8582,10122,E8582,  Wild-type transthyretin-related (ATTR) amyloidosis
V00891A,E8849,10000,E8849,  Other mitochondrial metabolism disorders
V00891D,E8849,10000,E8849,  Other mitochondrial metabolism disorders
V00892A,E8849,10000,E8849,  Other mitochondrial metabolism disorders
V00892D,E8849,10000,E8849,  Other mitochondrial metabolism disorders
V00898A,E8849,10000,E8849,  Other mitochondrial metabolism disorders
V00898D,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W001XXA,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W001XXD,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W002XXA,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W002XXD,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W14XXXA,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W14XXXD,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W1781XA,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W1781XD,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W1782XA,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W1782XD,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W1789XA,E8849,10000,E8849,  Other mitochondrial metabolism disorders
W1789XD,E8849,10000,E8849,  Other mitochondrial metabolism disorders
V817XXA,E8021,10000,E8021,  Acute intermittent (hepatic) porphyria
V817XXD,E8021,10000,E8021,  Acute intermittent (hepatic) porphyria
V9000XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9000XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9001XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9001XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9002XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9002XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9003XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9003XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9004XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9004XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9005XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9005XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9006XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9006XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9008XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9008XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9009XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9009XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9010XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9010XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9011XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9011XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9012XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9012XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9013XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9013XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9014XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9014XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9015XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9015XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9016XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9016XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9018XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9018XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9019XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9019XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9020XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9020XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9021XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9021XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9022XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9022XD,E8309,10000,E8309,  Other disorders of copper metabolism
V9023XA,E8309,10000,E8309,  Other disorders of copper metabolism
V9023XD,E8309,10000,E8309,  Other disorders of copper metabolism
